ticket, time
0, 43.525
1, 43.525
2, 43.51
3, 43.535
4, 43.54
5, 43.565
6, 43.53
7, 43.54
8, 43.52
9, 43.535
10, 43.54
11, 43.57
12, 43.54
13, 43.555
14, 43.54
15, 43.54
16, 43.565
17, 43.57
18, 43.595
19, 43.595
20, 43.595
21, 43.575
22, 43.565
23, 43.575
24, 43.58
25, 43.55
26, 43.585
27, 43.585
28, 43.57
29, 43.565
30, 43.595
31, 43.595
32, 43.6
33, 43.585
34, 43.56
35, 43.585
36, 43.55
37, 43.565
38, 43.595
39, 43.565
40, 43.6
41, 43.59
42, 43.585
43, 43.575
44, 43.58
45, 43.565
46, 43.565
47, 43.57
48, 43.555
49, 43.58
50, 43.57
51, 43.565
52, 43.57
53, 43.58
54, 43.555
55, 43.615
56, 43.61
57, 43.59
58, 43.57
59, 43.59
60, 43.575
61, 43.56
62, 43.575
63, 43.575
64, 43.595
65, 43.555
66, 43.585
67, 43.575
68, 43.53
69, 43.6
70, 43.6
71, 43.565
72, 43.55
73, 43.535
74, 43.535
75, 43.565
76, 43.575
77, 43.575
78, 43.6
79, 43.56
80, 43.565
81, 43.59
82, 43.67
83, 43.55
84, 43.54
85, 43.56
86, 43.58
87, 43.535
88, 43.535
89, 43.55
90, 43.585
91, 43.595
92, 43.575
93, 43.55
94, 43.555
95, 43.55
96, 43.535
97, 43.555
98, 43.525
99, 43.515
100, 43.49
101, 43.535
102, 43.54
103, 43.53
104, 43.53
105, 43.535
106, 43.54
107, 43.535
108, 43.51
109, 43.52
110, 43.65
111, 43.52
112, 43.555
113, 43.555
114, 43.545
115, 43.525
116, 43.525
117, 43.49
118, 43.525
119, 43.515
120, 43.56
121, 43.535
122, 43.555
123, 43.525
124, 43.51
125, 43.505
126, 43.57
127, 43.515
128, 43.53
129, 43.515
130, 43.56
131, 43.535
132, 43.53
133, 43.54
134, 43.56
135, 43.525
136, 43.515
137, 43.54
138, 43.54
139, 43.54
140, 43.505
141, 43.545
142, 43.515
143, 43.5
144, 43.52
145, 43.515
146, 43.535
147, 43.525
148, 43.55
149, 43.55
150, 43.545
151, 43.54
152, 43.59
153, 43.575
154, 43.54
155, 43.53
156, 43.525
157, 43.52
158, 43.54
159, 43.54
160, 43.525
161, 43.5
162, 43.515
163, 43.54
164, 43.52
165, 43.53
166, 43.505
167, 43.515
168, 43.505
169, 43.525
170, 43.54
171, 43.52
172, 43.56
173, 43.53
174, 43.535
175, 43.52
176, 43.555
177, 43.55
178, 43.545
179, 43.535
180, 43.53
181, 43.53
182, 43.525
183, 43.51
184, 43.52
185, 43.51
186, 43.525
187, 43.53
188, 43.545
189, 43.535
190, 43.535
191, 43.545
192, 43.505
193, 43.505
194, 43.56
195, 43.52
196, 43.535
197, 43.52
198, 43.565
199, 43.525
200, 43.525
201, 43.555
202, 43.515
203, 43.545
204, 43.5
205, 43.515
206, 43.51
207, 43.525
208, 43.535
209, 43.51
210, 43.53
211, 43.51
212, 43.55
213, 43.535
214, 43.555
215, 43.535
216, 43.515
217, 43.52
218, 43.51
219, 43.525
220, 43.515
221, 43.505
222, 43.52
223, 43.545
224, 43.525
225, 43.52
226, 43.525
227, 43.54
228, 43.54
229, 43.55
230, 43.565
231, 43.52
232, 43.545
233, 43.54
234, 43.545
235, 43.6
236, 43.56
237, 43.56
238, 43.545
239, 43.545
240, 43.56
241, 43.585
242, 43.59
243, 43.575
244, 43.59
245, 43.555
246, 43.55
247, 43.545
248, 43.59
249, 43.56
250, 43.55
251, 43.545
252, 43.55
253, 43.56
254, 43.56
255, 43.67
256, 43.565
257, 43.585
258, 43.535
259, 43.565
260, 43.54
261, 43.55
262, 43.525
263, 43.54
264, 43.54
265, 43.53
266, 43.54
267, 43.565
268, 43.56
269, 43.52
270, 43.55
271, 43.575
272, 43.65
273, 43.555
274, 43.54
275, 43.525
276, 43.535
277, 43.54
278, 43.52
279, 43.54
280, 43.525
281, 43.54
282, 43.52
283, 43.525
284, 43.555
285, 43.515
286, 43.545
287, 43.565
288, 43.565
289, 43.54
290, 43.545
291, 43.55
292, 43.54
293, 43.525
294, 43.53
295, 43.57
296, 43.54
297, 43.565
298, 43.59
299, 43.565
300, 43.545
301, 43.535
302, 43.565
303, 43.57
304, 43.555
305, 43.56
306, 43.57
307, 43.57
308, 43.585
309, 43.555
310, 43.555
311, 43.555
312, 43.545
313, 43.565
314, 43.55
315, 43.55
316, 43.555
317, 43.565
318, 43.59
319, 43.56
320, 43.555
321, 43.58
322, 43.565
323, 43.55
324, 43.54
325, 43.555
326, 43.56
327, 43.56
328, 43.57
329, 43.56
330, 43.57
331, 43.575
332, 43.575
333, 43.57
334, 43.555
335, 43.605
336, 43.6
337, 43.59
338, 43.56
339, 43.57
340, 43.55
341, 43.575
342, 43.57
343, 43.565
344, 43.55
345, 43.555
346, 43.56
347, 43.575
348, 43.54
349, 43.56
350, 43.545
351, 43.54
352, 43.545
353, 43.56
354, 43.555
355, 43.54
356, 43.6
357, 43.555
358, 43.555
359, 43.56
360, 43.555
361, 43.575
362, 43.555
363, 43.58
364, 43.535
365, 43.59
366, 43.565
367, 43.555
368, 43.55
369, 43.59
370, 43.54
371, 43.555
372, 43.525
373, 43.555
374, 43.57
375, 43.59
376, 43.56
377, 43.59
378, 43.56
379, 43.585
380, 43.555
381, 43.595
382, 43.565
383, 43.54
384, 43.56
385, 43.545
386, 43.54
387, 43.54
388, 43.54
389, 43.55
390, 43.56
391, 43.54
392, 43.52
393, 43.53
394, 43.51
395, 43.51
396, 43.495
397, 43.535
398, 43.54
399, 43.535
400, 43.51
401, 43.54
402, 43.515
403, 43.53
404, 43.51
405, 43.53
406, 43.52
407, 43.51
408, 43.525
409, 43.505
410, 43.555
411, 43.51
412, 43.55
413, 43.54
414, 43.54
415, 43.535
416, 43.54
417, 43.56
418, 43.575
419, 43.53
420, 43.57
421, 43.565
422, 43.59
423, 43.59
424, 43.605
425, 43.615
426, 43.58
427, 43.575
428, 43.615
429, 43.58
430, 43.59
431, 43.605
432, 43.6
433, 43.59
434, 43.575
435, 43.715
436, 43.575
437, 43.585
438, 43.59
439, 43.605
440, 43.575
441, 43.58
442, 43.6
443, 43.575
444, 43.56
445, 43.575
446, 43.58
447, 43.565
448, 43.605
449, 43.61
450, 43.6
451, 43.6
452, 43.625
453, 43.58
454, 43.575
455, 43.6
456, 43.595
457, 43.56
458, 43.59
459, 43.625
460, 43.625
461, 43.6
462, 43.59
463, 43.6
464, 43.585
465, 43.555
466, 43.61
467, 43.59
468, 43.58
469, 43.565
470, 43.59
471, 43.58
472, 43.595
473, 43.57
474, 43.59
475, 43.58
476, 43.585
477, 43.55
478, 43.595
479, 43.59
480, 43.575
481, 43.56
482, 43.55
483, 43.575
484, 43.54
485, 43.565
486, 43.545
487, 43.55
488, 43.56
489, 43.555
490, 43.55
491, 43.53
492, 43.54
493, 43.525
494, 43.545
495, 43.53
496, 43.55
497, 43.56
498, 43.555
499, 43.555
500, 43.56
501, 43.545
502, 43.545
503, 43.565
504, 43.525
505, 43.57
506, 43.53
507, 43.525
508, 43.52
509, 43.565
510, 43.565
511, 43.555
512, 43.565
513, 43.57
514, 43.525
515, 43.585
516, 43.545
517, 43.525
518, 43.52
519, 43.545
520, 43.555
521, 43.565
522, 43.565
523, 43.55
524, 43.57
525, 43.55
526, 43.555
527, 43.53
528, 43.525
529, 43.53
530, 43.555
531, 43.555
532, 43.52
533, 43.55
534, 43.53
535, 43.56
536, 43.575
537, 43.535
538, 43.555
539, 43.57
540, 43.57
541, 43.535
542, 43.56
543, 43.565
544, 43.575
545, 43.555
546, 43.555
547, 43.555
548, 43.54
549, 43.565
550, 43.51
551, 43.535
552, 43.555
553, 43.55
554, 43.565
555, 43.55
556, 43.545
557, 43.55
558, 43.545
559, 43.55
560, 43.57
561, 43.585
562, 43.565
563, 43.55
564, 43.545
565, 43.545
566, 43.545
567, 43.595
568, 43.575
569, 43.625
570, 43.555
571, 43.555
572, 43.575
573, 43.56
574, 43.535
575, 43.545
576, 43.535
577, 43.565
578, 43.53
579, 43.535
580, 43.57
581, 43.565
582, 43.575
583, 43.54
584, 43.575
585, 43.58
586, 43.55
587, 43.565
588, 43.54
589, 43.53
590, 43.555
591, 43.535
592, 43.53
593, 43.555
594, 43.555
595, 43.555
596, 43.52
597, 43.56
598, 43.52
599, 43.565
600, 43.565
601, 43.58
602, 43.555
603, 43.55
604, 43.55
605, 43.55
606, 43.57
607, 43.55
608, 43.56
609, 43.54
610, 43.535
611, 43.54
612, 43.555
613, 43.57
614, 43.545
615, 43.53
616, 43.54
617, 43.51
618, 43.495
619, 43.52
620, 43.495
621, 43.535
622, 43.63
623, 43.52
624, 43.495
625, 43.51
626, 43.535
627, 43.545
628, 43.55
629, 43.515
630, 43.52
631, 43.525
632, 43.5
633, 43.5
634, 43.48
635, 43.5
636, 43.505
637, 43.525
638, 43.51
639, 43.525
640, 43.505
641, 43.53
642, 43.525
643, 43.515
644, 43.52
645, 43.51
646, 43.5
647, 43.485
648, 43.515
649, 43.525
650, 43.53
651, 43.525
652, 43.52
653, 43.54
654, 43.535
655, 43.515
656, 43.51
657, 43.51
658, 43.515
659, 43.49
660, 43.525
661, 43.525
662, 43.515
663, 43.52
664, 43.52
665, 43.535
666, 43.56
667, 43.51
668, 43.53
669, 43.53
670, 43.55
671, 43.535
672, 43.55
673, 43.52
674, 43.525
675, 43.51
676, 43.52
677, 43.52
678, 43.535
679, 43.51
680, 43.51
681, 43.52
682, 43.52
683, 43.535
684, 43.525
685, 43.51
686, 43.51
687, 43.515
688, 43.515
689, 43.53
690, 43.565
691, 43.525
692, 43.475
693, 43.485
694, 43.5
695, 43.5
696, 43.51
697, 43.51
698, 43.505
699, 43.515
700, 43.495
701, 43.515
702, 43.52
703, 43.55
704, 43.535
705, 43.5
706, 43.52
707, 43.52
708, 43.525
709, 43.52
710, 43.53
711, 43.515
712, 43.51
713, 43.52
714, 43.53
715, 43.5
716, 43.53
717, 43.505
718, 43.5
719, 43.5
720, 43.53
721, 43.495
722, 43.54
723, 43.51
724, 43.52
725, 43.525
726, 43.54
727, 43.55
728, 43.555
729, 43.54
730, 43.545
731, 43.525
732, 43.5
733, 43.54
734, 43.52
735, 43.52
736, 43.495
737, 43.545
738, 43.525
739, 43.495
740, 43.5
741, 43.51
742, 43.5
743, 43.52
744, 43.515
745, 43.545
746, 43.545
747, 43.535
748, 43.495
749, 43.55
750, 43.54
751, 43.515
752, 43.54
753, 43.55
754, 43.495
755, 43.515
756, 43.545
757, 43.53
758, 43.525
759, 43.535
760, 43.55
761, 43.525
762, 43.56
763, 43.535
764, 43.525
765, 43.515
766, 43.53
767, 43.53
768, 43.525
769, 43.51
770, 43.56
771, 43.52
772, 43.53
773, 43.53
774, 43.56
775, 43.525
776, 43.535
777, 43.535
778, 43.53
779, 43.53
780, 43.51
781, 43.515
782, 43.55
783, 43.505
784, 43.505
785, 43.535
786, 43.515
787, 43.52
788, 43.53
789, 43.525
790, 43.535
791, 43.555
792, 43.525
793, 43.53
794, 43.505
795, 43.535
796, 43.515
797, 43.515
798, 43.54
799, 43.55
800, 43.475
801, 43.5
802, 43.485
803, 43.505
804, 43.5
805, 43.51
806, 43.515
807, 43.505
808, 43.5
809, 43.515
810, 43.465
811, 43.54
812, 43.55
813, 43.53
814, 43.505
815, 43.505
816, 43.525
817, 43.5
818, 43.51
819, 43.51
820, 43.515
821, 43.495
822, 43.52
823, 43.53
824, 43.515
825, 43.52
826, 43.51
827, 43.52
828, 43.505
829, 43.515
830, 43.515
831, 43.655
832, 43.53
833, 43.48
834, 43.49
835, 43.51
836, 43.52
837, 43.495
838, 43.525
839, 43.5
840, 43.49
841, 43.51
842, 43.495
843, 43.515
844, 43.495
845, 43.51
846, 43.53
847, 43.52
848, 43.52
849, 43.535
850, 43.5
851, 43.535
852, 43.53
853, 43.54
854, 43.53
855, 43.52
856, 43.515
857, 43.52
858, 43.505
859, 43.525
860, 43.505
861, 43.515
862, 43.52
863, 43.525
864, 43.5
865, 43.565
866, 43.505
867, 43.51
868, 43.525
869, 43.54
870, 43.54
871, 43.53
872, 43.525
873, 43.53
874, 43.505
875, 43.535
876, 43.51
877, 43.5
878, 43.54
879, 43.535
880, 43.54
881, 43.525
882, 43.56
883, 43.565
884, 43.56
885, 43.49
886, 43.53
887, 43.56
888, 43.54
889, 43.52
890, 43.54
891, 43.54
892, 43.54
893, 43.53
894, 43.52
895, 43.525
896, 43.545
897, 43.525
898, 43.53
899, 43.54
900, 43.525
901, 43.535
902, 43.52
903, 43.53
904, 43.54
905, 43.52
906, 43.54
907, 43.53
908, 43.505
909, 43.56
910, 43.525
911, 43.545
912, 43.515
913, 43.55
914, 43.54
915, 43.565
916, 43.54
917, 43.54
918, 43.545
919, 43.54
920, 43.54
921, 43.53
922, 43.55
923, 43.545
924, 43.54
925, 43.535
926, 43.54
927, 43.55
928, 43.55
929, 43.565
930, 43.55
931, 43.585
932, 43.545
933, 43.58
934, 43.55
935, 43.585
936, 43.56
937, 43.55
938, 43.56
939, 43.59
940, 43.57
941, 43.56
942, 43.58
943, 43.54
944, 43.545
945, 43.545
946, 43.575
947, 43.555
948, 43.575
949, 43.56
950, 43.55
951, 43.58
952, 43.53
953, 43.545
954, 43.55
955, 43.565
956, 43.565
957, 43.58
958, 43.595
959, 43.555
960, 43.565
961, 43.565
962, 43.545
963, 43.585
964, 43.575
965, 43.56
966, 43.56
967, 43.54
968, 43.55
969, 43.57
970, 43.575
971, 43.53
972, 43.575
973, 43.565
974, 43.57
975, 43.595
976, 43.585
977, 43.53
978, 43.56
979, 43.555
980, 43.595
981, 43.58
982, 43.58
983, 43.55
984, 43.565
985, 43.565
986, 43.56
987, 43.535
988, 43.56
989, 43.56
990, 43.535
991, 43.575
992, 43.545
993, 43.555
994, 43.56
995, 43.56
996, 43.575
997, 43.585
998, 43.55
999, 43.57
